Date,Product,Usage,DayName,Month,Year
2025-01-01,Chicken,466.0,Wednesday,1,2025
2025-01-02,Chicken,492.0,Thursday,1,2025
2025-01-03,Chicken,472.0,Friday,1,2025
2025-01-04,Chicken,363.0,Saturday,1,2025
2025-01-05,Chicken,482.0,Sunday,1,2025
2025-01-06,Chicken,424.0,Monday,1,2025
2025-01-07,Chicken,4060.0,Tuesday,1,2025
2025-01-08,Chicken,466.0,Wednesday,1,2025
2025-01-09,Chicken,492.0,Thursday,1,2025
2025-01-10,Chicken,472.0,Friday,1,2025
2025-01-11,Chicken,363.0,Saturday,1,2025
2025-01-12,Chicken,482.0,Sunday,1,2025
2025-01-13,Chicken,424.0,Monday,1,2025
2025-01-14,Chicken,4060.0,Tuesday,1,2025
2025-01-15,Chicken,466.0,Wednesday,1,2025
2025-01-16,Chicken,492.0,Thursday,1,2025
2025-01-17,Chicken,472.0,Friday,1,2025
2025-01-18,Chicken,363.0,Saturday,1,2025
2025-01-19,Chicken,482.0,Sunday,1,2025
2025-01-20,Chicken,424.0,Monday,1,2025
2025-01-21,Chicken,4060.0,Tuesday,1,2025
2025-01-22,Chicken,466.0,Wednesday,1,2025
2025-01-23,Chicken,492.0,Thursday,1,2025
2025-01-24,Chicken,472.0,Friday,1,2025
2025-01-25,Chicken,363.0,Saturday,1,2025
2025-01-26,Chicken,482.0,Sunday,1,2025
2025-01-27,Chicken,424.0,Monday,1,2025
2025-01-28,Chicken,4060.0,Tuesday,1,2025
2025-01-29,Chicken,466.0,Wednesday,1,2025
2025-01-30,Chicken,492.0,Thursday,1,2025
2025-01-31,Chicken,472.0,Friday,1,2025
2025-02-01,Chicken,363.0,Saturday,2,2025
2025-02-02,Chicken,482.0,Sunday,2,2025
2025-02-03,Chicken,424.0,Monday,2,2025
2025-02-04,Chicken,4060.0,Tuesday,2,2025
2025-02-05,Chicken,466.0,Wednesday,2,2025
2025-02-06,Chicken,492.0,Thursday,2,2025
2025-02-07,Chicken,472.0,Friday,2,2025
2025-02-08,Chicken,363.0,Saturday,2,2025
2025-02-09,Chicken,482.0,Sunday,2,2025
2025-02-10,Chicken,424.0,Monday,2,2025
2025-02-11,Chicken,4060.0,Tuesday,2,2025
2025-02-12,Chicken,466.0,Wednesday,2,2025
2025-02-13,Chicken,492.0,Thursday,2,2025
2025-02-14,Chicken,472.0,Friday,2,2025
2025-02-15,Chicken,363.0,Saturday,2,2025
2025-02-16,Chicken,482.0,Sunday,2,2025
2025-02-17,Chicken,424.0,Monday,2,2025
2025-02-18,Chicken,4060.0,Tuesday,2,2025
2025-02-19,Chicken,466.0,Wednesday,2,2025
2025-02-20,Chicken,492.0,Thursday,2,2025
2025-02-21,Chicken,472.0,Friday,2,2025
2025-02-22,Chicken,363.0,Saturday,2,2025
2025-02-23,Chicken,482.0,Sunday,2,2025
2025-02-24,Chicken,424.0,Monday,2,2025
2025-02-25,Chicken,4060.0,Tuesday,2,2025
2025-02-26,Chicken,466.0,Wednesday,2,2025
2025-02-27,Chicken,492.0,Thursday,2,2025
2025-02-28,Chicken,472.0,Friday,2,2025
2025-03-01,Chicken,363.0,Saturday,3,2025
2025-03-02,Chicken,482.0,Sunday,3,2025
2025-03-03,Chicken,424.0,Monday,3,2025
2025-03-04,Chicken,4060.0,Tuesday,3,2025
2025-03-05,Chicken,466.0,Wednesday,3,2025
2025-03-06,Chicken,492.0,Thursday,3,2025
2025-03-07,Chicken,472.0,Friday,3,2025
2025-03-08,Chicken,363.0,Saturday,3,2025
2025-03-09,Chicken,482.0,Sunday,3,2025
2025-03-10,Chicken,424.0,Monday,3,2025
2025-03-11,Chicken,4060.0,Tuesday,3,2025
2025-03-12,Chicken,466.0,Wednesday,3,2025
2025-03-13,Chicken,492.0,Thursday,3,2025
2025-03-14,Chicken,472.0,Friday,3,2025
2025-03-15,Chicken,363.0,Saturday,3,2025
2025-03-16,Chicken,482.0,Sunday,3,2025
2025-03-17,Chicken,424.0,Monday,3,2025
2025-03-18,Chicken,4060.0,Tuesday,3,2025
2025-03-19,Chicken,466.0,Wednesday,3,2025
2025-03-20,Chicken,492.0,Thursday,3,2025
2025-03-21,Chicken,472.0,Friday,3,2025
2025-03-22,Chicken,363.0,Saturday,3,2025
2025-03-23,Chicken,482.0,Sunday,3,2025
2025-03-24,Chicken,424.0,Monday,3,2025
2025-03-25,Chicken,4060.0,Tuesday,3,2025
2025-03-26,Chicken,466.0,Wednesday,3,2025
2025-03-27,Chicken,492.0,Thursday,3,2025
2025-03-28,Chicken,472.0,Friday,3,2025
2025-03-29,Chicken,363.0,Saturday,3,2025
2025-03-30,Chicken,482.0,Sunday,3,2025
2025-03-31,Chicken,424.0,Monday,3,2025
2025-04-01,Chicken,4060.0,Tuesday,4,2025
2025-04-02,Chicken,466.0,Wednesday,4,2025
2025-04-03,Chicken,492.0,Thursday,4,2025
2025-04-04,Chicken,472.0,Friday,4,2025
2025-04-05,Chicken,363.0,Saturday,4,2025
2025-04-06,Chicken,482.0,Sunday,4,2025
2025-04-07,Chicken,424.0,Monday,4,2025
2025-04-08,Chicken,4060.0,Tuesday,4,2025
2025-04-09,Chicken,466.0,Wednesday,4,2025
2025-04-10,Chicken,492.0,Thursday,4,2025
2025-04-11,Chicken,472.0,Friday,4,2025
2025-04-12,Chicken,363.0,Saturday,4,2025
2025-04-13,Chicken,482.0,Sunday,4,2025
2025-04-14,Chicken,213.0,Monday,4,2025
2025-04-15,Chicken,1968.0,Tuesday,4,2025
2025-04-16,Chicken,333.0,Wednesday,4,2025
2025-04-17,Chicken,439.0,Thursday,4,2025
2025-04-18,Chicken,228.0,Friday,4,2025
2025-04-19,Chicken,541.0,Saturday,4,2025
2025-04-20,Chicken,491.0,Sunday,4,2025
2025-04-21,Chicken,376.0,Monday,4,2025
2025-04-22,Chicken,2661.0,Tuesday,4,2025
2025-04-23,Chicken,479.0,Wednesday,4,2025
2025-04-24,Chicken,444.0,Thursday,4,2025
